Project,Priority,Rank level,Actionable warning lifespan: day(s)
pool,Priority 2,18,1553
pool,Priority 2,17,1
pool,Priority 3,20,83
pool,Priority 2,14,14
pool,Priority 2,18,18
pool,Priority 3,20,0
pool,Priority 3,20,83
pool,Priority 2,17,1
pool,Priority 3,19,1295
pool,Priority 3,19,18
pool,Priority 3,19,2
pool,Priority 3,19,12
pool,Priority 2,18,0
pool,Priority 3,19,353
pool,Priority 2,18,0
pool,Priority 2,17,81
pool,Priority 3,20,29
pool,Priority 2,8,1
pool,Priority 3,20,17
pool,Priority 2,17,2
pool,Priority 3,20,66
pool,Priority 2,17,2
pool,Priority 2,17,0
pool,Priority 3,20,17
pool,Priority 3,19,119
pool,Priority 2,14,1
